"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.03.2026","2.776,37","2.823,19","2.912,01","2.766,28","59,81B","-0,81%"
"01.02.2026","2.799,14","2.758,01","2.809,49","2.712,47","41,38B","0,59%"
"01.01.2026","2.782,74","2.733,01","2.843,63","2.674,17","953,35B","0,58%"
"01.12.2025","2.766,62","2.674,51","2.819,33","2.619,88","185,55B","3,37%"
"01.11.2025","2.676,42","2.524,01","2.713,02","2.492,20","","5,99%"
"01.10.2025","2.525,20","2.690,14","2.757,39","2.457,87","31,95B","-5,94%"
"01.09.2025","2.684,60","2.923,49","2.939,20","2.651,13","","-7,41%"
"01.08.2025","2.899,38","2.749,41","3.014,21","2.724,54","","6,12%"
"01.07.2025","2.732,12","2.854,04","2.858,55","2.616,03","","-4,05%"
"01.06.2025","2.847,38","2.795,02","2.910,52","2.702,29","1.128,04B","0,66%"
"01.05.2025","2.828,83","2.872,87","2.947,07","2.699,84","1.101,03B","-3,07%"
"01.04.2025","2.918,47","3.032,41","3.053,15","2.598,85","1.884,29B","-3,15%"
"01.03.2025","3.013,36","3.189,81","3.282,15","2.970,94","1.828,25B","-5,85%"
"01.02.2025","3.200,48","2.933,84","3.371,06","2.889,87","2.430,07B","8,56%"
"01.01.2025","2.948,10","2.892,64","2.995,45","2.744,58","1.857,98B","2,26%"
"01.12.2024","2.883,04","2.584,19","2.883,04","2.370,28","2.182,35B","11,83%"
"01.11.2024","2.578,00","2.562,49","2.797,94","2.426,02","1.107,88B","0,70%"
"01.10.2024","2.560,20","2.831,17","2.838,77","2.551,20","","-10,41%"
"01.09.2024","2.857,56","2.622,55","2.889,87","2.512,70","","7,83%"
"01.08.2024","2.649,96","2.953,09","2.966,49","2.641,20","1.493,64B","-10,03%"
"01.07.2024","2.945,37","3.160,70","3.226,16","2.879,25","1.723,40B","-5,70%"
"01.06.2024","3.123,43","3.192,30","3.268,89","2.996,44","","-2,91%"
"01.05.2024","3.217,19","3.470,87","3.521,72","3.211,19","","-7,28%"
