<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
IMOEX;0;20260330;095002;2796.46;346.444433
IMOEX;0;20260330;095003;2796.49;150.846597
IMOEX;0;20260330;095004;2796.36;409.172281
IMOEX;0;20260330;095005;2796.43;119.502008
IMOEX;0;20260330;095006;2796.44;49.757906
IMOEX;0;20260330;095007;2796.47;5.935698
IMOEX;0;20260330;095008;2796.46;1.908127
IMOEX;0;20260330;095009;2796.5;9.030932
IMOEX;0;20260330;095010;2796.39;1485.211648
IMOEX;0;20260330;095011;2796.45;233.58973
IMOEX;0;20260330;095012;2796.34;578.263015
IMOEX;0;20260330;095013;2796.38;65.520423
IMOEX;0;20260330;095014;2796.28;304.347204
IMOEX;0;20260330;095015;2796.32;89.184357
IMOEX;0;20260330;095016;2796.39;48.807927
IMOEX;0;20260330;095017;2796.37;597.53037
IMOEX;0;20260330;095018;2796.37;1.619242
IMOEX;0;20260330;095019;2796.46;636.492566
IMOEX;0;20260330;095020;2796.43;842.055049
IMOEX;0;20260330;095021;2796.4;81.597411
IMOEX;0;20260330;095022;2796.46;300.413022
IMOEX;0;20260330;095023;2796.49;190.593208
IMOEX;0;20260330;095024;2796.5;70.902199
IMOEX;0;20260330;095025;2796.46;239.763487
IMOEX;0;20260330;095026;2796.45;168.738937
IMOEX;0;20260330;095027;2796.44;160.546624
IMOEX;0;20260330;095028;2796.45;107.849595
IMOEX;0;20260330;095029;2796.51;54.111732
IMOEX;0;20260330;095030;2796.1;507.379564
IMOEX;0;20260330;095031;2796.16;46.345703
IMOEX;0;20260330;095032;2796.14;79.68807
IMOEX;0;20260330;095033;2796.19;1196.340735
IMOEX;0;20260330;095034;2796.18;523.559642
IMOEX;0;20260330;095035;2796.18;47.79771
IMOEX;0;20260330;095036;2796.18;44.725304
IMOEX;0;20260330;095037;2796.22;81.274006
IMOEX;0;20260330;095038;2796.22;17.874488
IMOEX;0;20260330;095039;2796.18;135.943323
IMOEX;0;20260330;095040;2796.25;70.785159
IMOEX;0;20260330;095041;2796.1;396.149995
IMOEX;0;20260330;095042;2796.16;21.564932
IMOEX;0;20260330;095043;2796.26;166.273165
IMOEX;0;20260330;095044;2796.28;22.312143
IMOEX;0;20260330;095045;2796.3;25.301291
IMOEX;0;20260330;095046;2796.41;289.109251
IMOEX;0;20260330;095047;2796.06;216.039355
IMOEX;0;20260330;095048;2796.05;1621.834016
IMOEX;0;20260330;095049;2795.85;827.4024
IMOEX;0;20260330;095050;2795.94;101.467485
IMOEX;0;20260330;095051;2796.03;568.768575
IMOEX;0;20260330;095052;2796.12;252.58966
IMOEX;0;20260330;095053;2796.13;123.585813
IMOEX;0;20260330;095054;2796.15;168.553547
IMOEX;0;20260330;095055;2796.12;34.87547
IMOEX;0;20260330;095056;2796.13;40.612561
IMOEX;0;20260330;095057;2795.81;930.932002
IMOEX;0;20260330;095058;2795.88;150.202441
IMOEX;0;20260330;095059;2795.52;9518.100747
IMOEX;0;20260330;095100;2795.38;6073.231546
IMOEX;0;20260330;095102;2795.57;1290.918847
IMOEX;0;20260330;095103;2795.54;385.755167
IMOEX;0;20260330;095104;2795.67;609.949672
IMOEX;0;20260330;095105;2795.69;52.801634
IMOEX;0;20260330;095106;2795.67;95.26947
IMOEX;0;20260330;095107;2795.68;42.861129
IMOEX;0;20260330;095108;2795.66;403.28688
IMOEX;0;20260330;095109;2795.7;302.993526
IMOEX;0;20260330;095110;2795.71;264.007354
IMOEX;0;20260330;095111;2795.48;2196.604519
IMOEX;0;20260330;095112;2795.54;309.354186
IMOEX;0;20260330;095113;2795.6;75.688582
IMOEX;0;20260330;095114;2795.6;142.070039
IMOEX;0;20260330;095115;2795.77;508.65343
IMOEX;0;20260330;095116;2795.87;58.924056
IMOEX;0;20260330;095117;2795.75;110.619691
IMOEX;0;20260330;095118;2795.76;102.596789
IMOEX;0;20260330;095119;2795.77;7.708431
IMOEX;0;20260330;095120;2795.72;431.354714
IMOEX;0;20260330;095121;2795.7;58.834639
IMOEX;0;20260330;095122;2795.71;70.304502
IMOEX;0;20260330;095123;2795.74;407.703506
IMOEX;0;20260330;095124;2795.75;30.717339
IMOEX;0;20260330;095125;2795.76;123.789596
IMOEX;0;20260330;095126;2795.75;105.371725
IMOEX;0;20260330;095127;2795.88;482.074338
IMOEX;0;20260330;095128;2795.93;94.187623
IMOEX;0;20260330;095129;2795.92;1.07335
IMOEX;0;20260330;095130;2795.89;164.757555
IMOEX;0;20260330;095131;2795.36;657.55967
